year,start_station_id,total_bikes,started_at
2023,5379.10,1350,1350
2023,5382.06,2030,2030
2023,5382.07,2455,2455
2023,5388.01,661,661
2023,5391.06,1204,1204
2023,5392.04,9,9
2023,5400.05,458,458
2023,5401.03,16,16
2023,5403.04,411,411
2023,5403.05,297,297
2023,5406.02,1437,1437
2023,5406.04,244,244
2023,5409.02,79,79
2023,5411.07,598,598
2023,5411.08,820,820
2023,5414.06,1828,1828
2023,5414.07,509,509
2023,5419.04,606,606
2023,5422.04,480,480
2023,5422.09,1131,1131
2023,5430.08,619,619
2023,5430.10,588,588
2023,5431.01,42,42
2023,5433.03,308,308
2023,5433.04,123,123
2023,5436.09,1167,1167
2023,5436.11,1023,1023
2023,5440.05,34,34
2023,5442.05,642,642
2023,5442.09,222,222
2023,5445.02,1847,1847
2023,5445.07,1636,1636
2023,5450.01,607,607
2023,5450.04,955,955
2023,5453.01,1352,1352
2023,5453.05,1078,1078
2023,5453.06,1140,1140
2023,5458.02,610,610
2023,5470.02,400,400
2023,5470.10,958,958
2023,5470.12,1457,1457
2023,5471.04,29,29
2023,5473.03,261,261
2023,5473.06,158,158
2023,5476.03,1323,1323
2023,5481.04,544,544
2023,5484.09,1867,1867
2023,5489.03,956,956
2023,5489.04,208,208
2023,5489.06,252,252
2023,5492.05,2325,2325
2023,5500.02,904,904
2023,5500.07,668,668
2023,5501.06,32,32
2023,5503.01,307,307
2023,5506.10,743,743
2023,5506.14,1241,1241
2023,5509.02,480,480
2023,5510.02,11,11
2023,5510.05,17,17
2023,5515.02,1146,1146
2023,5515.08,1766,1766
2023,5520.09,484,484
2023,5523.02,1147,1147
2023,5532.01,708,708
2023,5539.06,291,291
2023,5540.06,53,53
2023,5542.04,800,800
2023,5545.01,1578,1578
2023,5545.04,1126,1126
2023,5548.01,59,59
2023,5550.05,1198,1198
2023,5550.09,674,674
2023,5553.03,1321,1321
2023,5553.10,1840,1840
2023,5558.04,516,516
2023,5561.04,1717,1717
2023,5561.06,2208,2208
2023,5569.06,940,940
2023,5569.07,579,579
2023,5570.04,117,117
2023,5572.07,161,161
2023,5575.08,307,307
2023,5575.13,506,506
2023,5578.02,921,921
2023,5579.02,17,17
2023,5579.04,30,30
2023,5581.01,573,573
2023,5584.04,1725,1725
2023,5584.05,1352,1352
2023,5593.01,2359,2359
2023,5593.02,973,973
2023,5593.04,1002,1002
2023,5602.06,1068,1068
2023,5610.09,1468,1468
2023,5611.04,10,10
2023,5611.05,51,51
2023,5613.04,681,681
2023,5616.01,995,995
2023,5616.08,773,773
2023,5623.03,641,641
2023,5626.07,2826,2826
2023,5626.13,1802,1802
2023,5626.15,2080,2080
2023,5633.04,204,204
2023,5636.11,2295,2295
2023,5636.13,991,991
2023,5644.05,944,944
2023,5653.12,1296,1296
2023,5656.03,267,267
2023,5659.05,1566,1566
2023,5659.11,1705,1705
2023,5666.04,802,802
2023,5666.11,793,793
2023,5669.10,1185,1185
2023,5669.12,951,951
2023,5676.04,665,665
2023,5679.05,1996,1996
2023,5679.08,1521,1521
2023,5687.04,1228,1228
2023,5687.11,41,41
2023,5688.02,61,61
2023,5696.03,993,993
2023,5703.13,1793,1793
2023,5709.03,269,269
2023,5712.03,1970,1970
2023,5712.12,1073,1073
2023,5721.01,1322,1322
2023,5721.07,1318,1318
2023,5721.14,977,977
2023,5730.08,1992,1992
2023,5731.03,23,23
2023,5736.09,1546,1546
2023,5743.02,356,356
2023,5746.02,2063,2063
2023,5746.14,1620,1620
2023,5752.07,513,513
2023,5752.09,671,671
2023,5755.01,1469,1469
2023,5755.09,1901,1901
2023,5755.14,1819,1819
2023,5763.03,2363,2363
2023,5764.02,44,44
2023,5769.06,715,715
2023,5772.05,1342,1342
2023,5779.08,2046,2046
2023,5779.09,264,264
2023,5779.10,2011,2011
2023,5779.11,3455,3455
2023,5785.05,1098,1098
2023,5785.10,260,260
2023,5788.12,1110,1110
2023,5788.13,3535,3535
2023,5788.15,2357,2357
2023,5788.16,1016,1016
2023,5794.05,568,568
2023,5797.01,1031,1031
2023,5805.05,1280,1280
2023,5805.07,1439,1439
2023,5806.01,37,37
2023,5820.08,2013,2013
2023,5826.02,750,750
2023,5829.12,141,141
2023,5838.09,1453,1453
2023,5845.02,31,31
2023,5847.01,2418,2418
2023,5847.06,1117,1117
2023,5851.01,85,85
2023,5854.09,2507,2507
2023,5854.10,90,90
2023,5860.02,181,181
2023,5863.07,1322,1322
2023,5869.04,926,926
2023,5872.10,1718,1718
2023,5878.02,74,74
2023,5880.02,1813,1813
2023,5881.01,112,112
2023,5883.06,100,100
2023,5886.13,2506,2506
2023,5887.03,213,213
2023,5896.01,1132,1132
2023,5902.07,817,817
2023,5905.12,3829,3829
2023,5905.14,2333,2333
2023,5914.03,1457,1457
2023,5914.08,894,894
2023,5917.02,93,93
2023,5920.03,117,117
2023,5922.04,1435,1435
2023,5922.07,1546,1546
2023,5922.08,1033,1033
2023,5923.02,78,78
2023,5929.01,1917,1917
2023,5930.02,124,124
2023,5938.01,1208,1208
2023,5938.11,1709,1709
2023,5944.01,1538,1538
2023,5945.01,48,48
2023,5947.04,2189,2189
2023,5953.03,40,40
2023,5955.12,1082,1082
2023,5956.04,85,85
2023,5956.05,117,117
2023,5964.01,965,965
2023,5971.08,1492,1492
2023,5971.09,1818,1818
2023,5977.01,546,546
2023,5980.07,2372,2372
2023,5983.04,190,190
2023,5987.03,53,53
2023,5989.02,2336,2336
2023,5992.02,57,57
2023,5997.10,1331,1331
2023,5998.09,87,87
2023,6001.01,74,74
2023,6004.06,2052,2052
2023,6004.07,1196,1196
2023,6005.04,42,42
2023,6013.12,1106,1106
2023,6014.01,26,26
2023,6016.06,180,180
2023,6019.04,490,490
2023,6020.02,24,24
2023,6022.04,2374,2374
2023,6025.08,218,218
2023,6028.01,7,7
2023,6030.04,1364,1364
2023,6030.06,1341,1341
2023,6033.01,40,40
2023,6037.02,47,47
2023,6039.06,1655,1655
2023,6046.02,1897,1897
2023,6047.03,37,37
2023,6053.01,25,25
2023,6055.08,1525,1525
2023,6056.02,18,18
2023,6058.08,217,217
2023,6062.03,73,73
2023,6064.08,1544,1544
2023,6067.01,98,98
2023,6070.05,15,15
2023,6072.06,2848,2848
2023,6072.11,2694,2694
2023,6072.16,795,795
2023,6076.02,62,62
2023,6079.03,1208,1208
2023,6080.07,41,41
2023,6089.07,1985,1985
2023,6089.08,968,968
2023,6089.11,1676,1676
2023,6090.03,159,159
2023,6092.01,104,104
2023,6096.01,40,40
2023,6098.02,755,755
2023,6098.10,2852,2852
2023,6098.12,2186,2186
2023,6099.02,39,39
2023,6101.11,221,221
2023,6104.01,186,186
2023,6105.02,43,43
2023,6107.08,1216,1216
2023,6108.03,100,100
2023,6110.01,124,124
2023,6113.07,35,35
2023,6115.06,1409,1409
2023,6115.09,797,797
2023,6116.03,182,182
2023,6119.01,21,21
2023,6122.09,2198,2198
2023,6123.02,25,25
2023,6128.04,302,302
2023,6131.12,1276,1276
2023,6131.13,1523,1523
2023,6134.03,215,215
2023,6134.13,205,205
2023,6137.04,246,246
2023,6138.02,35,35
2023,6140.05,3488,3488
2023,6141.02,91,91
2023,6143.01,86,86
2023,6143.05,120,120
2023,6146.01,16,16
2023,6148.02,1426,1426
2023,6149.02,74,74
2023,6151.03,228,228
2023,6155.03,27,27
2023,6157.04,1002,1002
2023,6158.02,69,69
2023,6158.06,130,130
2023,6164.09,1268,1268
2023,6165.06,58,58
2023,6167.03,35,35
